id,pais,categoria,descripcion,fuente,lat,lon,mgrs,place,admin1,admin2,accuracy,geocode_source,created_at,updated_at
1,gaza,Sin clasificar,"""El Ejército persigue a los combatientes de Hamas en los túneles de Rafah y mata a una parte de ellos"" (https://www.alquds.com/ar/posts/208067).",WEB www.alquds.com,35.661543,139.698750,54SUE8221947189,"túneles de Rafah y mata a una parte de ellos"" (https://www",,渋谷区,theatre,cache,2025-11-14T07:14:00,2025-11-14T07:14:00
2,gaza,Sin clasificar,Las fuerzas de ocupación se oponen a la bicicleta de un niño palestino al sur de Jenin - Video https://www.alquds.com/ar/posts/208069-.,WEB www.alquds.com,35.661543,139.698750,54SUE8221947189,Jenin - Video https://www,,渋谷区,theatre,cache,2025-11-14T07:53:32,2025-11-14T07:53:32
3,gaza,Sin clasificar,"El viernes, la Dirección General de Defensa Civil de la Franja de Gaza envió una advertencia urgente a los ciudadanos de todas las provincias de la Franja de Gaza.",WEB www.alquds.com,19.509392,-99.131013,14QMG8625357197,Dirección General,Ciudad de México,Ciudad de México,university,cache,2025-11-14T08:54:04,2025-11-14T08:54:04
4,gaza,Sin clasificar,"Las fuerzas de ocupación israelíes registraron y publicaron sus artículos en el Foro Al-Quds, viernes 14 de noviembre de 2025, 8.42 horas, hora de Al-Quds, en la Ribera Occidental y el Frente Popular, en los que pedían que se ""enfrentaran"" con la ocupación.",WEB www.alquds.com,,,,Foro Al-Quds,,,,mensajes,2025-11-14T08:54:04,2025-11-14T08:54:04
5,gaza,Sin clasificar,"El municipio advierte: ""Los sistemas de drenaje paralizados viven entre más de 900.000 personas en Jan Yunis, entre desplazados y residentes, en medio de una destrucción masiva causada por el ""genocidio"" durante 25 meses.",WEB www.alquds.com,31.344329,34.309590,36RXV2457468503,Jan Yunis,قطاع غزة,,administrative,cache,2025-11-14T09:17:42,2025-11-14T09:17:42
6,gaza,Conflicto Armado,El Organismo de Obras Públicas y Socorro de las Naciones Unidas para los Refugiados de Palestina en el Cercano Oriente (OOPS) afirmó que el jueves 282.000 viviendas de Gaza habían sido destruidas o dañadas por el bombardeo israelí.,WEB www.alquds.com,41.375159,-74.659211,18TWL2849780460,Cercano Oriente (OOPS) afirmó,New York,Orange County,path,cache,2025-11-14T09:27:44,2025-11-14T09:27:44
7,gaza,Sin clasificar,"Los colonos han registrado y publicado sus artículos en el Foro Al-Quds el viernes 14 de noviembre de 2025 a las 9.34 de la mañana, hora de Al-Quds, los colonos están causando estragos en la Ribera Occidental.",WEB www.alquds.com,,,,Foro Al-Quds el viernes 14 de noviembre de 2025 a las 9,,,,mensajes,2025-11-14T09:43:46,2025-11-14T09:43:46
8,gaza,Conflicto Armado,- El Gobernador de Ucrania en la provincia de Zaburujia: 4 muertos en un intenso bombardeo ruso en la provincia,@AjaNews,,,,Zaburujia: 4 muertos en un intenso bombardeo ruso en la,,,,mensajes,2025-11-14T10:06:46,2025-11-14T10:06:46
9,gaza,Sin clasificar,La Agencia de Seguridad Rusa ha frustrado un intento de asesinato planeado por el Servicio de Inteligencia de Ucrania contra un alto funcionario ruso,@AjaNews,32.489258,-116.960143,11SNR0374494669,Servicio,Baja California,Municipio de Tijuana,residential,cache,2025-11-14T10:06:46,2025-11-14T10:06:46
10,gaza,Sin clasificar,"● Autoridades ucranianas: 3 personas murieron y 26 resultaron heridas en los ataques de anoche en la capital, Kiev",@AjaNews,,,,ataques de anoche,,,,mensajes,2025-11-14T10:06:46,2025-11-14T10:06:46
11,gaza,Sin clasificar,● Servicio Federal de Seguridad de Rusia: frustrar un intento de asesinato dirigido contra un alto funcionario ruso,@AjaNews,18.888873,-96.943788,14QQF1659689790,Servicio Federal,Veracruz,Córdoba,electronics_repair,cache,2025-11-14T10:06:46,2025-11-14T10:06:46
12,gaza,Sin clasificar,● Servicio de Seguridad Federal de Rusia: la inteligencia ucraniana reclutó a cuatro personas para planear el asesinato de un funcionario ruso,@AjaNews,32.489258,-116.960143,11SNR0374494669,Servicio,Baja California,Municipio de Tijuana,residential,cache,2025-11-14T10:06:46,2025-11-14T10:06:46
13,gaza,Sin clasificar,El Presidente de Ucrania debe utilizar las sanciones para poner fin a los ataques rusos que matan a nuestros ciudadanos.,@AjaNews,49.487197,31.271832,36UUV7483783052,Ucrania,,,administrative,cache,2025-11-14T10:06:46,2025-11-14T10:06:46
14,gaza,Conflicto Armado,El Presidente de Ucrania: Necesitamos refuerzos con sistemas adicionales y misiles de intercepción. Europa y los Estados Unidos pueden ayudar.,@AjaNews,49.487197,31.271832,36UUV7483783052,Ucrania,,,administrative,cache,2025-11-14T10:06:46,2025-11-14T10:06:46
15,gaza,Conflicto Armado,:: Autoridades de Kharkev: 3 civiles muertos en un bombardeo ruso dirigido contra aldeas en el frente nororiental de Ucrania,@AjaNews,,,,un bombardeo ruso dirigido contra aldeas,,,,mensajes,2025-11-14T10:06:46,2025-11-14T10:06:46
